1,2,3,5,9,10,11,12,22,23,24,,
19,PCB0004077,Colombo,Athurugiriya,Divisional Hospital-Type C,Kaduwela,,2,"Divisional Hospital, Athurugiriya",011-2561229,athurugiridh@gmail.com,,
20,PCB0004093,Colombo,Kosgama,Divisional Hospital-Type C,Hanwella,,2,"Divisional Hospital, Kosgama, Salawa",036-2255061,dhkosgama@gmail.com,,
21,LCB0000117,Colombo,Angoda (IDH) - National Institute of Infectious Disease ,Other Specialized Hospital,Kolonnawa,Specialized Hospital,1,Angoda,011-2411223-24 / 0112411284,,,
22,LCB0000208,Colombo,Apeksha Hospital Maharagama,Other Specialized Hospital,Maharagama,Specialized Hospital,1,Maharagama,011-2850252-53 / 0112897377-78,,,
23,LCB0000224,Colombo,National Dental Teaching Hospital Sri Lanka,Specialized Teaching Hospital,Colombo CMC/Maligawatta,Specialized Hospital,1,"Ward place, Colombo 07 / Maligawatta unit",011-2693106,,,
24,LCB0000232,Colombo,National Institute of  Mental Health (N.I.M.H.),Other Specialized Hospital,Kolonnawa,Specialized Hospital / Mental Rehabilitation Hospital,1,"Mulleriyawa, New Town, Angoda",011-2578234-37,,,
25,,Colombo,Military Hospital - Colombo 3,Army Hospital,,,3,,011-2343075,,,
26,,Colombo,Police Hospital- Colombo,Police Hospital,Narahenpita,,3,"Narahenpita, Colombo 05",011-2501385 / 0112501392,,,
27,LCB0017210,Colombo,Prison Hospital - Welikada,Prison Hospital,Pitakotte,,3,"Prison Hospital, Welikada Prison, Colombo 09",011-2662455,prisonhospital2@gmail.com,,
29,PCB0004119,Colombo,Angoda,Primary Medical Care Unit,Kolonnawa,,2,"PMCU Angoda, Delgahawatta, Angoda",011-2568484,angodacd@gmail.com,,
30,PCB0004135,Colombo,Boralesgamuwa,Primary Medical Care Unit,Boralesgamuwa,,2,"PMCU, Dehiwala Rd, Boralesgamuwa,",0112-570035,lahiruranasingha@gmail.com,,
31,PCB0004143,Colombo,Brahmanagama,Primary Medical Care Unit,Kahathuduwa,,2,"PMCU, Brahmanagama, Pannipitiya",0112-782990,hetalagala@gmail.com,,
32,PCB0004150,Colombo,Dedigamuwa,Primary Medical Care Unit,Kaduwela,,2,"PMCU, Dedigamuwa, Ranala",0777-599069,dr.cpathirana@gmail.com,,
33,PCB0004168,Colombo,Dematagoda,Primary Medical Care Unit,CMC Area,,2,"PMCU, Baseline Road, Dematagoda",011-2691421 / 0777397773,drmrsjkdjayanetti@gmail.com,,
34,PCB0004176,Colombo,Folk Art Centre (Battaramulla),Primary Medical Care Unit,Battaramulla,,2,"PMCU, Folk Art Centre, Battaramulla",011-2786155,hlcfolkart.gov@gmail.com,,
35,PCB0004184,Colombo,Gangodawila / Delkada,Primary Medical Care Unit,Boralesgamuwa,,2,"PMCU, Delkada, Udahamulla",071-8278191,yasara54@gmail.com,,
36,PCB0004192,Colombo,Hanwella,Primary Medical Care Unit,Hanwella,,2,"PMCU, Hanwella",036-2251314,pmcuhanwella@gmail.com,,
37,PCB0004200,Colombo,Kaduwela,Primary Medical Care Unit,Kaduwela,,2,"PMCU, Kaduwela",011-2538368,chandrimamihiripenna@gmail.com,,
38,PCB0004226,Colombo,Kolonnawa,Primary Medical Care Unit,Gothatuwa,,2,"PMCU, Government Factory, Kolonnawa",070-2788693,subhanihendavitharana@gmail.com / pmcukolonnawa@gmail.com,,
39,PCB0004234,Colombo,Koralawella,Primary Medical Care Unit,Egoda Uyana,,2,"PMCU, Koralawella, Moratuwa",011-2659570,prabudhi2007@gmail.com,,
40,PCB0004242,Colombo,Madiwela,Primary Medical Care Unit,Battaramulla,,2,"PMCU, Ebuldeniya Rd,Madiwela,  Kotte",011-2799585,pmcumadi@gmail.com,,
41,PCB0004267,Colombo,Meegoda,Primary Medical Care Unit,Homagama,,2,"PMCU, Meegoda",011-2175977/ 0782803048,meegodapmcu@gmail.com,,
42,PCB0004275,Colombo,Mirihana,Primary Medical Care Unit,Battaramulla,,2,"PMCU, Buwanekaba Mawatha, Mirihana,Kotte",071-7144485/ 0718284485,akmg4@gmail.com,,
43,PCB0004309,Colombo,Nugegoda,Primary Medical Care Unit,Nugegoda,,2,"PMCU, , Jayamangala Rd, Pagoda, Nugegoda",0112-890971,pmcudelkanda123@gmail.com,,
44,PCB0004317,Colombo,Obeysekerapura,Primary Medical Care Unit,Nugegoda,,2,"PMCU, Obesekarapura, Rajagiriya",011-2870748,ukwaththa@gmail.com,,
45,PCB0004325,Colombo,Pannipitiya,Primary Medical Care Unit,Maharagama,,2,"PMCU, Pannipitiya, Maharagama",070-1587385,kaindrani@gmail.com,,
46,PCB0004333,Colombo,Parliamentary Complex,Primary Medical Care Unit,,,1,CD Parliamentary Complex,,,,
47,PCB0004341,Colombo,Pinnawala,Primary Medical Care Unit,Padukka,,2,"PMCU, Pinnawala, Waga",0112-197513,devikagunasekara@gmail.com,,
48,PCB0004366,Colombo,Ratmalana,Primary Medical Care Unit,Ratmalana,,2,"PMCU, Ratmalana",011-2623075/ 0718461562,sarasidoc@gmail.com / rathmalanapmcu@gmail.com,,
49,PCB0004358,Colombo,Ratmalana (Railway Workshop),Primary Medical Care Unit,Rathmalana,,2,"PMCU, Rly Workshop, Ratmalana",011-2633812,yahani.ranasinghe912@gmail.com,,
50,PCB0004374,Colombo,Rukmalgama,Primary Medical Care Unit,Maharagama,,2,"PMCU, Rukmalgama, Pannipitiya",011-2189997,priyanthika712@gmail.com,,
51,PCB0004382,Colombo,Sedawatta,Primary Medical Care Unit,Gothatuwa,,2,"PMCU, Ambathale Rd, Sedawaththa",011-2073411,dr.iirshad@gmail.com,,
52,PCB0004390,Colombo,Thunmodara,Primary Medical Care Unit,Padukka,,2,"PMCU, Ranmudu Ella Rd, Thummodara",036-2251308,ruvininadi25@gmail.com,,
53,PCB0004408,Colombo,Waga,Primary Medical Care Unit,Hanwella,,2,"PMCU, Walikanna, Waga.",,kasuneew@gmail.com,,
54,PCB0004416,Colombo,Wellampitiya,Primary Medical Care Unit,Gothatuwa,,2,"PMCU,172,Vihara Mw,Wellampitiya,Kolonnawa.",011-2531175,chandrikafernando456@gmail.com,,
55,PCB0004424,Colombo,Weragala,Primary Medical Care Unit,Padukka,,2,"PMCU, Weragala, Padukka",071-8278191 / 0718278191,chandraniseneviratne4@gmail.com,,
56,PCB0004606,Colombo,"Ananda College, Colombo",ADC,CMC Area,,2,"Ananda College, Maradhana Rd, Colombo 10",071-2828745,,,
57,PCB0004622,Colombo,Dharmapala M. V. - Pannipitiya,ADC,Maharagama,,2,"Darmapala Vidyalaya,Avissawella Rd,Pannipitiya.",071-6303566,sajeevapubuduni@gmail.com,,
58,PCB0004614,Colombo,"Devi Balika Vidiyalaya, Colombo",ADC,CMC Area,,2,"Devi Balika Vidyalaya,Castle Street,olombo 08.",,,,
59,PCB0004630,Colombo,"Hindu College, Bambalapitiya",ADC,CMC Area,,2,"Hindu College,77 Lorenz Rd,Colombo 04.",077-3543881,thanugajent@gmail.com,,
60,PCB0004648,Colombo,Kanapathy Vidyalaya,ADC,CMC Area,,2,"Kanapathi Vidyalaya,Srimath Bandaranayake Mawatha,Colombo 10.",077-7913536,niranjana3536@gmail.com,,
61,PCB0004655,Colombo,Nalanda College,ADC,CMC Area,,2,"Nalanda College,Sri Dhamma Mw,Colombo 10",071-4437723,gimhana@gmail.com,,
62,PCB0004663,Colombo,Piliyandala Maha Vidyalaya,ADC,Piliyandala,,2,"Piliyandala Maha Vidyalaya, Piliyandala",072-1611545,padmaperis1961@gmail.com,,
63,PCB0004671,Colombo,Royal College,ADC,CMC Area,,2,"Royal College, Colombo 07",071-3269187,iyantha@gmail.com,,
64,PCB0004796,Colombo,"Siddhartha V, Thalapathpitiya",CDC,Pitakotte,,2,"Sri Siddartha College ,Thalapathpitiya ,Nugegoda.",071-7236009,jayali@gmail.com,,
65,PCB0004804,Colombo,"Sri Rahula M.V., Madiwela",CDC,Pitakotte,,2,"Sri Rahula College, Madiwela Rd, Kotte.",,,,
66,PCB0004689,Colombo,"Sri Subuthi M.V , Battaramulla",ADC,Battaramulla,,2,"Sri Subuthi Vidyalaya,Robert Gunawardhana Mw,Battaramulla.",,,,
67,PCB0004697,Colombo,St. Josephs College,ADC,CMC Area,,2,"214,T.B.Jayah Mawatha,Colombo 10.",077-4772167,mayamilindika@gmail.com,,
68,PCB0004705,Colombo,St. Peters College,ADC,CMC Area,,2,"St.Peters College,Galle Rd,Colombo 04.",077-3420246,ispalihawadana@yahoo.com,,
69,PCB0004770,Colombo,Homagama (President's College),CDC,Homagama,,2,"President College,Katuwana Rd,Homagama.",071-0151036,wijekoonsandhya@gmail.com,,
70,PCB0004721,Colombo,Koralawella,CDC,Edoda Uyana,,2,"Community Dental Clinic, Koralawella, Moratuwa.",078-4931421,pubudunanayakkara@gmail.com,,
71,PCB0004739,Colombo,Maharagama,CDC,Maharagama,,2,"Samudra Devi School,Gangodawila ,Maharagama.",077-3424425,senakaabeyratne@gmail.com,,
72,PCB0004747,Colombo,Mount Laviniya,CDC,Ratmalana,,2,"Community Dental Clinic,MT Laviniya Public Park.",077-7808496,rubangrsh@gmail.com,,
73,PCB0004754,Colombo,Nawala,CDC,Nugegoda,,2,"Community Dental Clinic,Millagahawaththa Rd,Nawala,Koswatta.",077-3057000,Sathini.novaya@gmail.com,,
74,PCB0004762,Colombo,Obeysekarapura,CDC,Nugegoda,,2,"Community Dental Clinic,Obesekarapura,Rajagiriya.",077-7808636,harryathula@yahoo.com,,
75,PCB0004788,Colombo,"S.O.S Village, Piliyandala",CDC,Piliyandala,,2,"Dental Surgeon,Community Dental Clinic,SOS Village,Piliyandala.",071-4437698,,,
76,PCB0004440,Colombo,Boralesgamuwa,MOH,Boralasgamuwa,,2,"MOH Office, Verahara, Boralesgamuwa",0112-519374,moh.boralesgamuwa@gmail.com,,
77,PCB0004598,Colombo,Colombo,MOH,,Colombo MOH attached the Public Health Dept. (CMC) (Ins. No 1804)  Staff return not collect seperately.,3,"Public Health Department, Colombo MC",011-2691922,,,
78,PCB0004465,Colombo,Dehiwala,MOH,Dehiwala,,2,"MOH Offfice, Council Avenue, Dehiwala",011-2726373,tbdehiwala@gmail.com,,
79,PCB0004473,Colombo,Hanwella,MOH,Hanwella,,2,"MOH Office, Aluthambalama, Kosgama",036-2253502,moh.hanwella.df@gmail.com,,
80,PCB0004481,Colombo,Homagama,MOH,Homagama,,2,"MOH Homagama, Galawila Rd, Homagama",0112-855244,moh.homagama123@gmail.com,,
81,PCB0004499,Colombo,Kaduwela,MOH,Kaduwela,,2,"MOH Office, Kaduwela",071-8070555,indikakatudhampa@gmail.com,,
82,PCB0004515,Colombo,Kolonnawa,MOH,Kolonnawa,,2,"MOH Kolonnawa, Pansalhena Rd, Meethotamulla, Wellampitiya",0112-531516,mohkolonnawa8@gmail.com,,
83,PCB0004523,Colombo,Maharagama,MOH,Maharagama,,2,"MOH Office, Maharagama",0112-843588,maharagamasvc@gmail.com,,
84,PCB0004531,Colombo,Moratuwa,MOH,Moratuwa,,2,"MOH Office, Moratuwa",0112-645483,moratuwamoh@gmail.com,,
85,PCB0004549,Colombo,Nugegoda,MOH,Nugegoda,,2,"MOH Offfice, 2nd floor , Delkanda Plaza, Nugegoda",0112-852718,nugegodamoh@gmail.com / delkandanugegoda@gmail.com,,
86,PCB0004556,Colombo,Padukka,MOH,Padukka,,2,"MOH,Horana Rd,Padukka.
",011-2859097,padukkamohoffice@gmail.com,,
87,PCB0004564,Colombo,Piliyandala,MOH,Piliyandala,,2,"MOH Office, Piliyandala",011-2708553,piliyandala.moh708@gmail.com,,
88,PCB0004572,Colombo,Pitakotte / Kotte,MOH,Kotte,,2,"MOH Office, Pitakotte",011-2862973,moh.pitakotte@gmail.com,,
89,PCB0003988,Colombo,Colombo,RDHS,CMC Area,,2,"Regional Director of health Services, New secretariate Building, Maligawatta",0112-326248,planning.rdhs.cb@gmail.com,,
92,LCB0000505,Colombo,NTS Colombo,NTS,,,1,NTS Colombo,011-2694177,,,
93,LCB0000513,Colombo,NTS Mulleriyawa,NTS,,,1,NTS Mulleriyawa,011-2568491,,,
94,LCB0000521,Colombo,NTS Sri Jayawardenapura,NTS,,Attached to NTS Colombo,1,"National Nursing Training School, Sri jayawardenapura, Thalapathpitiya, Nugegoda",011-2779487,,,
95,LCB0000539,Colombo,Post Base School of Nursing,NTS,,,1,NTS,011-2693662,,,
96,PCB0003962,Colombo,Western Province,PDHS,CMC Area,,2,"Provincial Director of Health Services, New Secretariat Building, Maligawatta, Colombo 10",011-2434660 / 011-5749462,,,
98,LCB0000414,Colombo,Anti Filariasis Campaign,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2506249,,,
99,LCB0000422,Colombo,Anti Leprosy Campaign,Other,,,1,"Room 21, NHSL, Colombo",011-2696444 / 011-2958658,,,
100,LCB0000430,Colombo,Anti Malaria Campaign,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2588408 / 011-2368173/ 011-2368174,,,
102,LCB0000265,Colombo,Bio Medical Engineering Services,Other,,,1,"De Seram Place, Colombo 10",011-2691916,,,
103,LCB0000448,Colombo,National Cancer Control Programme,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",0112368627,,,
105,,Colombo, Ins. Of Oral Health - IOH  /  Dental T T S  (Dental Therapists Training School) Maharagama ,Other,,Dental Therapists Training School Maharagama  coming under Ins. Of Oral Health,1,Maharagama,011-2837988,,,
106,LCB0000463,Colombo,Epidemiological Unit,Other,,,1,"No.231, De Seram Place, Colombo 10",011-2681548 / 011-4740491 / 011-2695112,,,
107,LCB0000471,Colombo,Family Health Bureau,Other,,,1,"No.231, De Seram Place, Colombo 10",011-2696677 / 011-2699332 / 011-2681309,,,
108,LCB0000273,Colombo,"Environment, Occupational Health & Food Safety Division",Other,,,1,"No. 26, Medi House Building, Sri Sangaraja Mawatha, Colombo 10 ",011-2112718,,,
109,LCB0000281,Colombo,Health Promotion Bureau,Other,,,1,"No.02, Kynsey Rd, Colombo 08","011-2696606, 011-2696142",,,
110,LCB0000299,Colombo,Institute of Forensic Medicine & Toxicology,Other,,,1,"111, Francis Place, Colombo 07",011-2691488,,,
112,LCB0000307,Colombo,Medical Research Institute,Other,,,1,"P.O.Box 527, Dr. Danister De Silva Mawatha, Colombo 08",011-2693532 / 011-2693533,,,
113,OCB0001230,Colombo,Medical Statistics Unit,Other,,,1,"MSU, No.385, Baddegama Wilmalawansa Thero Mawatha, Colombo 10",011-2695734,,,
114,LCB0000109,Colombo,Medical Supplies Division,Other,,,1,"No.375, Baddegama Wilmalawansa Thero Mawatha, Colombo 10","011-2694113, 011-2694114",,,
115,LCB0000323,Colombo,Mental Health Services,Other,,,1,"No. 26, Medi House Building, Sri Sangaraja Mawatha, Colombo 10 ",,,,
116,LCB0000331,Colombo,Ministry & Dept. of Health,Other,,,1,"No.385, Baddegama Wilmalawansa Thero Mawatha, Colombo 10",,,,
117,LCB0000349,Colombo,National Blood Transfusion Service,Other,,,1,"Elwitigala Mawatha, Narahenpita, Colombo 05",011-2368070 / 011-2369931,,,
119,LCB0000489,Colombo,NPTC & CD(National Programme for Tuberculosis Control & Chest Diseases,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2368386,,,
120,LCB0000372,Colombo,Nutrition Division,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2368320,,,
121,LCB0000380,Colombo,School Health Office,Other,,,1,"No. 549, Elvitigala Mawatha, Narahenpita",011-2368248,,,
122,LCB0000398,Colombo,"Port Health Office, Colombo",Other,,,1,,011-2434592,,,
124,LCB0000406,Colombo,Public Health Vetrinary Services,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2368524 / 011-2501709,,,
126,LCB0000257,Colombo,Quarantine Services (Assistant Port Health Office),Other,,,1,"No. 26, Medi House Building, Sri Sangaraja Mawatha, Colombo 10 ",011-2112705,,,
127,LCB0000497,Colombo,S.T.D. Aids Control Programme,Other,,,1,"No. 29, De Seram Place, Colombo 10",011-2667163 / 011-2667029,,,
128,LCB0000588,Colombo,School of Medical Laboratory ,Other,,Under MRI,1,"MRI, Colombo 8",011-2693532,,,
130,LCB0000612,Colombo,School of Radiography,Other,,Under National Hospital Colombo,1,Colombo,011-2676928,,,
1709,LCB0000554,Colombo,School of Cardiographers,Other,,Under National Hospital Colombo,1,Colombo,,,,
1735,LCB0000158,Colombo,The National Institute for Nephrology Dialysis & Transplantation,Other Specialized Hospital,Colombo CMC   /    Maligawatta,Specialized Hospital,1,Colombo 10,011-2422336,,,
1738,PCB0004291,Colombo,New Bazaar,PMCU & MH,,"Belongs to Public Health Department, Colombo Municipal Council",3,"No.200, Prince of Wales Avenue, Colombo 14",,,,
1739,PCB0004218,Colombo,Kirula,PMCU & MH,,"Belongs to Public Health Department, Colombo Municipal Council",3,"No.75/2, Kirula Road, Colombo 05",,,,
1740,,Colombo,Maligawatta,PMCU & MH,,"Belongs to Public Health Department, Colombo Municipal Council",3,"No.96, Maligawatta Place, Colombo 05",,,,
1741,PCB0004127,Colombo,Bandaranayake Mawatha,PMCU & MH,,"Belongs to Public Health Department, Colombo Municipal Council",3,"No.196, Bandaranayake Mawatha, Colombo 12",,,,
1742,PCB0004283,Colombo,Modara,PMCU & MH,,"Belongs to Public Health Department, Colombo Municipal Council",3,"No.46, Johns Way, Colombo 15",,,,
1744,LCB0000455,Colombo,National Dengue Control Unit,Other,,,1,"Public Health Complex, No. 555/5, Elwitigala Mawatha, Narahenpita, Colombo 05",011-2368416,,,
1746,LCB0000596,Colombo,School of Opthalmic Technology,Other,,School of Eye hospital,1,Eye Hospital,071-8345866,,,
1747,LCB0000562,Colombo,School of ECG Recordists,Other,,School of National Hospital,1,National Hospital,"011-2691111,Ext. 2742",,,
1748,LCB0000570,Colombo,School of EEG Recordists,Other,,School of National Hospital,1,National Hospital,"011-2691111, Ext. 2615",,,
1749,LCB0000604,Colombo,School of Physiotheraphy & Occupational Theraphy,Other,,School of National Hospital,1,National Hospital,"011-2676849, 011-2691111 Ext. 2624",,,
1783,LCB0000133,Colombo,Prison Hospital - Watareka,Prison Hospital,Homagama,,3,"Prison Hospital, Watareka, Padukka",011-4677521,wataraka@prisons.gov.lk,,
1804,,Colombo,Public Health Department - Colombo Municipal Council,Other,,,1,"Colombo Municipal Council, Town Hall, Colombo 07",011-2695742,,,
1805,PCB0004580,Colombo,Ratmalana,MOH,Ratmalana,,2,"MOH Office, 33A, Araliya Mw, Sirimal Uyana, Rathmalana",0112-723371,moh.rathmalana@gmail.com,,
1818,LCB0000497,Colombo,STD Clinic - Kalubovila,STD Clinic,,,1,"Room No.43, Sunandarama Rd, Kalubowila, Dehiwala",011-4891055,,,
1819,PCB0004507,Colombo,Kahathuduwa,MOH,Kahathuduwa,,2,"MOH Office, Brahmanagama, Pannipitiya",011-2818525,kahathuduwa.moh@gmail.com,,
1820,,Colombo,"Regional  Medical Supplies Division  (Regional Medical Drug Stores, Angoda)   -   RMSD",Other,,,1,"Regional Medical Drug Stores, Angoda",011-2578354   /  011-5746862,,,
1821,LCB0000414,Colombo,Anti Filariasis Unit - Boralesgamuwa,Other,,,1,"Anti Filariasis Unit, Werahera, Boralesgamuwa",011-2519284,,,
1822,PCB0004432,Colombo,Baththaramulla,MOH,Baththaramulla,,2,"MOH Office, Baththaramulla",011-2886532,battaramullamohoffice@gmail.com,,
1845,,Colombo ,Mutwal South ,CDC,CMC ,,2,,,,,
1846,,Colombo ,Alwitigala,CDC,CMC ,,2,,,,,
1847,,Colombo ,St.Pouls,ADC,CMC ,,2,,,,,
1848,,Colombo ,Slave Island ,CDC,CMC ,,2,,,,,
1875,,Colombo ,Sedawatta,CDC,Gothatuwa,,2,"Dental Surgeon,Community Dental Clinic,Sedawaththa.",076-1216652,Champikaperis1975@gmail.com,,
1876,PCB0004630,Colombo ,"Hindu Ramanathan Ladies college, Bambalapitiya",ADC,CMC ,,2,"100/3,Galle Rd,Colombo 05",,,,
1881,,Colombo,Sri Lanka Air Force Hospital  -  Colombo,Air Force Hospital,,,3,"Sri Lanka Air Force Hospital, Colombo",011-2694219,,,
1906,,Colombo,Naval Head Quarters - Colombo,Navy Hospital,,,3,"Po.Box 593, Colombo",011-2431628,,,
1911,,Colombo,Gothatuwa,MOH,Gothatuwa,,2,"MOH Office, 10620, Gothatuwa newtown, Gothatuwa",0112-411281,moh.gothatuwa@gmail.com,,
1912,,Colombo,Kesbewa,MOH,Kesbewa,,2,"MOH Office, Kesbewa",0112-609025,cdnandami66@gmail.com  /  mohkesbewa@gmail.com,,
1913,,Colombo,Egoda Uyana,MOH,Egoda Uyana,,2,"MOH Office, Egodauyana",077-2266726,moh.egodauyana@gmail.com,,
1914,,Colombo,SOS - Piliyandala/ Kesbewa,Primary Medical Care Unit,Kesbewa,,2,"PMCU, SOS Villege, Piliyandala",071-5641997,pmcusosmc.kesewa@gmail.com,,
1919,,Colombo,Gen.Sir John Kotelawala Defence University Hospital,Teaching Hospital,,,3,"Gen.Sir John Kotelawala Defence University Hospital, Werahera, Boralasgamuwa",011-2150848 / 011-2044555,,,
1940,,Colombo,Panagoda - Army Base Hospital,Army Hospital,,,3,"Panagoda , Homagama",011-2855178,BASEHOSPPNG@army.lk,,
1947,,Colombo,Nevil Fernando Hospital,Teaching Hospital,,,1,"406 B, Church Road, Weliwita, Malabe",011-2407600 / 011-7707600,,,
1964,,Colombo,SLAF Base Rathmalana,Air Force Hospital,,,3,,,,,
131,LGP0000729,Gampaha,Colombo North Teaching Hospital - Ragama,Teaching Hospital,Ragama,,1,Ragama,011-2959261-65/ MRO - 0771736958,ncthmrd@gmail.com,,
132,PGP0005694,Gampaha,Gampaha,District General Hospital,Gampaha,,2,"District Genaral Hospital, Gampaha.",033 - 2222261-62,gampahahospital@gmail.com,,
133,PGP0005702,Gampaha,Negambo,District General Hospital,Negambo,,1,"District Genaral Hospital, Negombo",031 - 2224216,dghnegambo@gmail.com,,
134,PGP0005652,Gampaha,Wathupitiwala,Base Hospital-Type A,Attanagalle,,2,"Base Hospital, Wathupitiwala",033 - 228 0261 - 62,wathupitiwalahe@gmail.com,,
135,PGP0005660,Gampaha,Kiribathgoda,Base Hospital-Type B,Kelaniya,No Maternity Wards,2,"Base Hospital, Kiribathgoda",011 - 2911493,basehospitalkiri@gmail.com,,
136,PGP0005678,Gampaha,Meerigama,Base Hospital-Type B,Meerigama,,2,"Base Hospital, Meerigama",033 - 2273261,bhmirigama@gmail.com,,
137,PGP0005710,Gampaha,Divulapitiya,Divisional Hospital-Type A,Divulapitiya,,2,"Divisional Hospital, Divulapitiya",031 - 2246261,hospitaldivulapitiya@gmail.com,,
138,PGP0005728,Gampaha,Dompe,Divisional Hospital-Type A,Dompe,,2,"Divisional Hospital, Dompe",011 - 2409544,dompehospital@gmail.com,,
139,LGP0000679,Gampaha,Kandana,Divisional Hospital-Type A,Ja-Ela,,1,,,,,
140,PGP0005686,Gampaha,Minuwangoda,Base Hospital-Type B,Minuwangoda,Upgraded from Circular No. 01-01 / 2020 & dated 31.01.2020,2,"Base Hospital, Minuwangoda",011 - 2295261,bhminuwangoda@gmail.com,,
141,PGP0005736,Gampaha,Radawana,Divisional Hospital-Type B,Mahara,,2,"Divisional Hospital, Radawana",033 - 2267261,dhbradawana@gmail.com,,
142,PGP0005744,Gampaha,Akaragama,Divisional Hospital-Type C,Divulapitiya,,2,"Divisional Hospital, Akaragama",031 - 2269261,dhcakaragama@gmail.com,,
143,PGP0005751,Gampaha,Biyagama,Divisional Hospital-Type C,Biyagama,,2,"Divisional Hospital, Biyagama",011 - 2489785,dhcbiyagama@gmail.com,,
144,PGP0005769,Gampaha,Bokalagama,Divisional Hospital-Type C,Meerigama,No indoor & maternity Wards,2,"Divisional Hospital, Bokalagama",033 - 2270283,dhbokalagama@gmail.com,,
145,PGP0005777,Gampaha,Ja-Ela,Divisional Hospital-Type C,Ja-Ela,,2,"Divisional Hospital, Kapala kanda, JaEla",011 - 2236328,dhjaela@gmail.com,,
146,PGP0005785,Gampaha,Malwathuhiripitiya,Divisional Hospital-Type C,Mahara,,2,"Divisional Hospital, Malwathuhiripitiya, Buthpitiya",033 - 2279261,malwathuhiripitiya@gmail.com,,
147,PGP0005793,Gampaha,Pamunugama,Divisional Hospital-Type C,Wattala,,2,"Divisional Hospital, Pamunugama",011 - 2236622,pamunugamagovhos@gmail.com,,
