id,Province,District,GON_Division,Category,Institute_Name,Address,tel,x,y,institute_code,Ownership,TypeOfInstitutes,office,TypeOfServicesCurative,TypeOfServicesPreventive,CDate
65,Eastern,Kalmunai,Addalachchenai 09,Clinic,MOH clinic,"MOH office, addalaichenai-09",672278613,7.260716,81.85344,PKL0009613.01.1,,Clinic,null,,,null
66,Eastern,Kalmunai,Addalachchenai 09,Clinic,DH addalaichenai health centre,"MOH office, addalaichenai-09",672278613,7.260716,81.85344,PKL0009613.01.2,,Clinic,null,,,null
67,Eastern,Kalmunai,Oluvil 02,Clinic,oluvil hospital health centre,"hospital road,oluvil-02",672255251,7.290424,81.858127,PKL0009613.01.3,,Clinic,null,,,null
68,Eastern,Kalmunai,Palamuna 05,Clinic,DH palamuna health centre,"main street,palamunai-05",672255061,7.269497,81.847983,PKL0009613.01.4,,Clinic,null,,,null
69,Eastern,Kalmunai,Akkaraipattu 12,MOH Office,MOH office akkaraipatru,"hospital north road,akkaraipatru-12",672277431,7.227907,81.851244,PKL0009894,Provincial Council,,RDHS,false,true,2018-08-01 03:10:30
70,Eastern,Kalmunai,Akkaraipattu 12,Clinic,MOH clinic,"hospital north road,akkaraipatru-12",672277431,7.227907,81.851244,PKL0009613.01.8,,Clinic,null,,,null
71,Eastern,Kalmunai,Akkaraipattu 13,Clinic,kadhariya gramodhay health centre,"150/B kadhariya road,akkaraipatru-13",,7.230964,81.856275,PKL0009613.01.9,,Clinic,null,,,null
72,Eastern,Kalmunai,Akkaraipattu 21,Clinic,ayurvedic gramodhaya health centre,"MCC road,akkaraipatru-21",,7.225401,81.838543,PKL0009613.01.10,,Clinic,null,,,null
73,Eastern,Kalmunai,Akkaraipattu 01,Clinic,badhur nagar gramodhaya health centre,"badhur mosque road,akkaraipatru-01",,7.218454,81.860562,PKL0009613.01.11,,Clinic,null,,,null
74,Eastern,Kalmunai,Oluvil 01,Clinic,ashraff nagar health centre,"ashraff nagar,oluvil-01",,7.283828,81.806369,PKL0009613.01.5,,Clinic,null,,,null
75,Eastern,Kalmunai,Akkaraipattu 12,Base hospital,Base Hospital Akkaraipatru,Base hospital akkaraipatru,672277213,7.227564,81.850842,LKL0000844,Line Ministry,Base hospital,null,,,null
76,Eastern,Kalmunai,,Divisional Hospital,divisional hospital akkaraipatru,"Ampara road,akkaraipatru-07",672277261,7.218543,81.843736,7050,Provincial Council,3,RDHS,true,false,2018-08-01 04:24:46
77,Eastern,Ampara,Nawagampura,RDHS,RDHS Ampara,"RDHS,hospital road, Ampara","0632222487,0632220000",7.297008,81.690059,PAP0002238,Provincial Council,RDHS,,true,true,2018-08-28 04:18:49
78,Eastern,Ampara,,General Hospital,General hospital Ampara,General hospital Ampara,632222261,7.29854,81.689482,770,Line Ministry,,,false,false,null
79,Eastern,Ampara,Nawagampura,Other Health Institute,"RMSD,Ampara","nawagampura road, Ampara",632223462,7.29799,81.690358,R100,,Other Health Institu,null,,,null
80,Eastern,Ampara,,MOH Office,MOH office Ampara,"MOH office, Ampara-22",632222279,7.296392,81.689946,4250,,MOH,null,,,null
81,Eastern,Ampara,,Clinic,MOH clinic,"MOH office, Ampara-22",632222279,7.296392,81.689946,PAP0002238.01.1,,Clinic,null,,,null
82,Eastern,Kalmunai,Palamuna 01,Other Health Institute,Interediate care unit,"IMCU,main streat,palamunai-05",672056678,7.26993,81.847772,7440,,Other Health Institu,null,,,null
83,Eastern,Kalmunai,Panankadu,PMCU,PMCU Panangadu,panangadu,672053987,7.186574,81.845521,7590,Provincial Council,11,RDHS,true,false,2018-08-01 03:04:56
84,Eastern,Kalmunai,Addalachchenai 17,Clinic,Aalangulam health centre,"aalangulam,addalaichenai",,7.235832,81.782219,PKL0009613.01.6,,Clinic,,false,false,2018-08-14 11:48:35
85,Eastern,Kalmunai,Alim Nagar,Clinic,Aalim nagar GHC,"aalim nagar,Ampara road,akkaraipatru",,7.208415,81.789025,PKL0009613.01.12,,Clinic,null,,,null
86,Eastern,Kalmunai,Pallikudiyiruppu 01,Clinic,Pallikudiyiruppu GHC,"mosque road,pallikudiyiruppu-02",,7.231207,81.822061,PKL0009613.01.13,,Clinic,null,,,null
87,Eastern,Kalmunai,,Clinic,Pattiyadipitti GHC,"aalim road,pattiyadipitti",,7.224876,81.829205,PKL0009613.01.70,,Clinic,null,,,null
88,Eastern,Kalmunai,Akkaraipattu 06,Clinic,Esanganichimai GHC,"SK road,esanganichimai",,7.2254,81.791479,PKL0009613.01.14,,Clinic,null,,,null
89,Eastern,Kalmunai,,MOH Office,MOH office Aalayadivembu,MOH office aalayadivembu,672277528,7.209692,81.844645,PKL0009902,Provincial Council,12,,false,true,2018-08-09 12:52:49
90,Eastern,Kalmunai,,Clinic,MOH office Clinic,MOH office aalayadivembu,672277528,7.209692,81.844645,PKL0009613.01.16,,Clinic,null,,,null
91,Eastern,Kalmunai,,Clinic,DH Akkaraipatru clinic,"Ampara road,akkaraipatru",672277261,7.218543,81.843736,PKL0009613.01.17,,Clinic,null,,,null
92,Eastern,Kalmunai,Kolavil 01,Clinic,Kolavil Clinic Centre,"sahama road,kolavil-01",,7.198073,81.849201,PKL0009613.01.18,,Clinic,null,,,null
93,Eastern,Kalmunai,Panankadu,Clinic,Panangadu Clinic Centre,"hospital road,panangadu-01",,7.186612,81.845367,PKL0009613.01.19,,Clinic,null,,,null
94,Eastern,Kalmunai,,Clinic,Kannahipuram Clinic Centre,"1st vattram,kannahipuram",,7.185663,81.81713,PKL0009613.01.20,,Clinic,null,,,null
95,Eastern,Kalmunai,Aligambai,Clinic,Alihambai Clinic Centre,"church road,alihambai",,7.159071,81.769297,PKL0009613.01.21,,Clinic,null,,,null
96,Eastern,Kalmunai,Deeghawapiya 01,Divisional Hospital,Divisional Hospital - Deegawapiya,"deegawapiya,Ampara",673694154,7.241562,81.764895,7140,Provincial Council,7,RDHS,true,true,2018-08-02 09:50:07
97,Eastern,Kalmunai,Addalachchenai 17,PMCU,PMCU aalankulam,aalankulam,,7.237294,81.782611,7260,Provincial Council,11,RDHS,true,false,2018-08-02 09:14:07
98,Eastern,Kalmunai,Deeghawapiya 01,Clinic,deegawapiya health centre,"deegawapiya,Ampara",,7.241562,81.764845,PKL0009613.01.7,,Clinic,null,,,null
631,Northern,Jaffna,,MOH Office,MOH Jaffna,"Municipal Council,Pointpedro Road, Jaffna",212222645,9.673993,80.027679,PJF0007526,Provincial Council,,,false,false,2018-08-14 11:29:11
632,Northern,Jaffna,,Clinic,Kantharmadam Clinic,"No335, Navalar Road, Nallur Jaffna",212222645,9.669338,80.025744,PJF0007039.01.25,,Clinic,null,,,null
633,Northern,Jaffna,,Clinic,Navalar Clinic,"No335, Navalar Road, Nallur Jaffna",212222645,9.672331,80.025721,PJF0007039.01.26,,Clinic,null,,,null
634,Northern,Jaffna,,Clinic,Nallur Clinic,"No22, Raasaveethy, Nallur,Jaffna (OLD ADDRESS)",212222645,9.678976,80.038504,PJF0007039.01.27,,Clinic,null,,,null
635,Northern,Jaffna,,Clinic,Ariyalai Punkankulam Clinic Center,"Ariyalai Punkankulam Clinic Center, Jaffna",212222645,9.659904,80.038108,PJF0007039.01.33,,Clinic,null,,,null
636,Northern,Jaffna,,Clinic,Vannarpannai Clinic,"No1125, Nachimarkovilady, KKS Road, Vannarpanni, Jaffna",212222645,9.685372,80.013142,PJF0007039.01.34,,Clinic,null,,,null
637,Northern,Jaffna,,Clinic,Gurunagar Clinic (WBC - Well Baby Clinic),"Beach Road, Gurunagar, Jaffna",212220678,9.6528,80.019581,PJF0007039.01.35,,Clinic,null,,,null
638,Northern,Jaffna,,Clinic,Gurunagar Clinic (ANC - Anti Natal Clinic),"Beach Road, Gurunagar, Jaffna",212220678,9.654254,80.018733,PJF0007039.01.28,,Clinic,null,,,null
639,Northern,Jaffna,,Clinic,Jubilee Clinic,"Mountkamal Road, Jaffna",212222645,9.657691,80.018733,PJF0007039.01.29,,Clinic,null,,,null
640,Northern,Jaffna,,Clinic,Bommaiveli Clinic,"Muslim College Road,New Market Complex, Jaffna",22222645,9.675835,80.004406,PJF0007039.01.30,,Clinic,null,,,null
641,Northern,Jaffna,Reclamation East,Divisional Hospital,Divisional Hospital -  Gurunagar,"Beach Road, Gurunagar",212220678,9.65281,80.01958,PJF0007161,Provincial Council,,,false,false,2018-08-16 02:57:25
642,Northern,Jaffna,,Clinic,Pasaiyoor Clinic,"Beach Road Pasaiyoor, Jaffna",212222645,9.649073,80.030646,PJF0007039.01.31,,Clinic,null,,,null
643,Northern,Jaffna,Columbuthurai East,Clinic,Swamiyar Veethy Clinic,"No 62, Swamiyar Veethy, Columbuthurai, Jaffna",212222645,9.651223,80.032708,PJF0007039.01.32,,Clinic,null,,,null
644,Northern,Jaffna,Kondavil Centre East,MOH Office,MOH Nallur,"MOH Nallur, Kondavil, Jaffna",212053702,9.705202,80.029879,PJF0007567,Provincial Council,MOH,,false,false,2018-08-17 10:21:12
645,Northern,Jaffna,,Divisional Hospital,Divisional Hospital - Kondavil,"Aasimada Arasadi Pillaiyar Kovil Road,Kondavil East",212053701,9.708577,80.033834,PJF0007211,Provincial Council,,,true,false,2018-08-16 03:55:03
646,Northern,Jaffna,,PMCU,PMCU Thirunelvely,"No 103/2, Aadiyapaatham Road,Thirunelvely North",212052204,9.688201,80.032484,PJF0007351,Provincial Council,,,true,false,2018-08-17 09:55:45
647,Northern,Jaffna,Kokuvil Centre East,PMCU,PMCU Kokuvil,"Aadiyapaatham Road, Kokuvil East",212212344,9.692269,80.021184,PJF0007385,Provincial Council,,,true,false,2018-08-17 08:43:11
648,Northern,Jaffna,Kondavil Centre East,Clinic,DH Clinic Kondavil,"Aasimada Arasadi Pillaiyar Kovil Road,Kondavil East",212053701,9.705623,80.030046,PJF0007039.01.69,,Clinic,null,,,null
649,Northern,Jaffna,Kondavil Centre West,Clinic,RDS Kokuvil,"Kokuvil West Community Centre ,Kokuvil",212053702,9.699694,80.009901,PJF0007039.01.70,,Clinic,null,,,null
650,Northern,Jaffna,Navalady,Clinic,Ariyalai PHC,"PHC Ariyalai, Navalady",212053702,9.652899,80.065648,PJF0007039.01.71,,Clinic,null,,,null
651,Northern,Jaffna,Manthikai,Base Hospital,Base Hospital- Pointpedro,"Base Hospital, Manthikai Junction, Pointpedro","021263261,021-2263262",9.80547,80.224787,PJF0007047,Provincial Council,,,true,false,2018-08-14 11:25:37
652,Northern,Jaffna,,Clinic,BH Clinic Pointpedro,"Base Hospital, Manthikai Junction, Pointpedro","021263261,021-2263262",9.805447,80.224787,PJF0007039.01.113,,Clinic,null,,,null
653,Northern,Jaffna,Point Pedro,PMCU,PMCU Pointpedro,"Thumpalai Road, Pointpedro",212261075,9.823323,80.238517,PJF0007427,Provincial Council,,,true,false,2018-08-17 09:04:10
654,Northern,Jaffna,Point Pedro,Clinic,PMCU Clinic Pointpedro,"Thumpalai Road, Pointpedro",212261075,9.823323,80.238517,PJF0007039.01.114,,Clinic,null,,,null
655,Northern,Jaffna,Maruthankarny,Divisional Hospital,Divisional Hospital - Maruthankerny,"Divisional Hospital, Maruthankerny",212260505,9.62216,80.396727,PJF0007245,,,,true,false,2018-08-17 09:28:12
656,Northern,Jaffna,Maruthankarny,Clinic,DH Clinic Maruthankerny,"Divisional Hospital, Maruthankerny",212260505,9.62216,80.396727,PJF0007039.01.115,,Clinic,null,,,null
657,Northern,Jaffna,Polikandy West,Divisional Hospital,Divisional Hospital - Valvettithurai,"Urani, Valvettithurai",212263530,9.82607,80.178972,PJF0007112,Provincial Council,,,false,false,2018-08-17 11:12:59
658,Northern,Jaffna,Polikandy West,Clinic,DH Clinic Valvettithurai,"Urani, Valvettithurai",212263530,9.82607,80.178972,PJF0007039.01.116,,Clinic,null,,,null
659,Northern,Jaffna,Ampan,Divisional Hospital,Divisional Hospital - Ampan,Ampan,213207156,9.715293,80.283303,PJF0007138,,,,false,false,2018-08-17 09:05:55
660,Northern,Jaffna,Ampan,Clinic,DH Clinic Ampan,Ampan,213207156,9.714572,80.284067,PJF0007039.01.117,,Clinic,null,,,null
661,Northern,Jaffna,Manthikai,MOH Office,MOH Office Pointpedro,MOH Office Pointpedro,212264482,9.805785,80.223,PJF0007492,Provincial Council,MOH,,false,true,2018-08-17 10:13:16
662,Northern,Jaffna,Manthikai,Clinic,MOH Central Clinic,MOH Office Pointpedro,212264482,9.805785,80.223,PJF0007039.01.118,,Clinic,null,,,null
663,Northern,Jaffna,,Clinic,PHC Katkovalam,"PHC Punithanagar, Katkovalam",212264482,9.804477,80.249165,PJF0007039.01.119,,Clinic,null,,,null
664,Northern,Jaffna,,Clinic,PHC Thumpalai,"Thumpalai East, Thumpalai",212264482,9.81825,80.252782,PJF0007039.01.120,,Clinic,null,,,null
665,Northern,Jaffna,Thumpalai,Clinic,PHC Aththiady,"PHC College Road, Aththiyady",212264482,9.821682,80.230557,PJF0007039.01.121,,Clinic,null,,,null
666,Northern,Jaffna,Puloly Centre,Clinic,PHC Viyaparimoolai,"PHC Veerapathirar Kovilady, Vijaparimoolai",212264482,9.826222,80.219813,PJF0007039.01.122,,Clinic,null,,,null
667,Northern,Jaffna,Alvai West,Clinic,PHC Thikkam,"PHC Thulapillaiyar Kovilady, Thikkam",212264482,9.823048,80.204895,PJF0007039.01.123,,Clinic,null,,,null
668,Northern,Jaffna,Thondamanaru South,Clinic,PHC Thondamanaru,"PHC Sanithy Kovilady, Thondamanaru",212264482,9.8144,80.13199,PJF0007039.01.124,,Clinic,null,,,null
669,Northern,Jaffna,Uduthurai,Clinic,PHC Uduththurai,"10th Ward, Uduththurai",212264482,9.62231,80.396285,PJF0007039.01.125,,Clinic,null,,,null
670,Northern,Jaffna,Chempiyanpattu North,Clinic,Mamunai Clinic Center,"Mamunai CC, Mamunai North",212264482,9.659103,80.360498,PJF0007039.01.126,,Clinic,null,,,null
671,Northern,Jaffna,Kudathanai,Clinic,PHC Kudaththanai,"PHC Potpathy Road, Kudaththanai",212264482,9.746505,80.27154,PJF0007039.01.127,,Clinic,null,,,null
672,Northern,Jaffna,Manalkadu,Clinic,PHC Manatkadu,PHC Manatkadu,212264482,9.770075,80.275867,PJF0007039.01.128,,Clinic,null,,,null
673,Northern,Jaffna,Karampon,Base hospital,Base Hospital Kayts,"North Main Road, Kayts",212211666,9.699508,79.862758,PJF0007070,Provincial Council,,,true,false,2018-08-17 11:07:54
674,Northern,Jaffna,,Divisional Hospital,Divisional Hospital - Karainagar,"DH, Karainagar",212211745,9.742456,79.884807,PJF0007187,Provincial Council,,,true,false,2018-08-17 10:15:37
675,Northern,Jaffna,Karampon,MOH Office,MOH office Kayts,MOH Office Kayts,212211660,9.695588,79.867123,PJF0007542,,MOH,null,,,null
676,Northern,Jaffna,Karampon,Clinic,MOH Office Central Clinic,MOH office Kayts,212211660,9.695588,79.867123,PJF0007039.01.37,,Clinic,null,,,null
677,Northern,Jaffna,Karainagar East,Clinic,Uri Clinic,"Pradesyasbha Weving Center, Karainagar",212211660,9.727637,79.872209,PJF0007039.01.38,,Clinic,null,,,null
678,Northern,Jaffna,Naranthanai,Clinic,Naranthanai RDS,RDS Naranthanai,212211660,9.691798,79.880958,PJF0007039.01.39,,Clinic,null,,,null
679,Northern,Jaffna,Puliyankoodal,Clinic,RDS Puliyankoodal,RDS Puliyankoodal,212211660,9.644824,79.884458,PJF0007039.01.40,,Clinic,null,,,null
680,Northern,Jaffna,Kopay Centre,MOH Office,MOH Kopay,"Manipay Road, Kopay Centre, Kopay",212231060,9.706723,80.06547,PJF0007559,,MOH,null,,,null
681,Northern,Jaffna,Puttur East,PMCU,PMCU Puttur,"PMCU Puttur East, Puttur",212058841,9.744695,80.107773,PJF0007443,,,,true,false,2018-08-17 09:09:35
682,Northern,Jaffna,Atchuvely South,Divisional Hospital,Divisional Hospital - Atchuvely,Divisional Hospital Atchuvely,212058047,9.77014,80.111403,PJF0007088,Provincial Council,,,true,false,2018-08-17 09:55:21
